Target,Best Model,Validation Accuracy,ROC-AUC,Optimal Threshold,Predicted Yes,Predicted No
Target1,Gradient Boosting,90.52%,0.9373,0.50,"15,780","47,318"
Target2,Gradient Boosting,96.63%,0.9796,0.51,"5,852","57,246"
